service_id,date,exception_type
2026_Spring_-Weekday,20260309,2
2026_Spring_-Weekday,20260310,2
2026_Spring_-Weekday,20260311,2
2026_Spring_-Weekday,20260312,2
2026_Spring_-Weekday,20260313,2
2026_Spring_-Sa,20260314,2
2026_Spring_-Su,20260315,2
A-Train-Mo-Th,20251225,2
A-Train-Mo-Th,20260101,2
Holiday-Weekday,20260112,2
Holiday-Weekday,20260113,2
Holiday-Weekday,20260114,2
Holiday-Weekday,20260115,2
Holiday-Weekday,20260116,2
Holiday-Weekday,20260119,2
Holiday-Weekday,20260120,2
Holiday-Weekday,20260121,2
Holiday-Weekday,20260122,2
Holiday-Weekday,20260123,2
Holiday-Weekday,20260126,2
Holiday-Weekday,20260127,2
Holiday-Weekday,20260128,2
Holiday-Weekday,20260129,2
Holiday-Weekday,20260130,2
Holiday-Weekday,20260202,2
Holiday-Weekday,20260203,2
Holiday-Weekday,20260204,2
Holiday-Weekday,20260205,2
Holiday-Weekday,20260206,2
Holiday-Weekday,20260209,2
Holiday-Weekday,20260210,2
Holiday-Weekday,20260211,2
Holiday-Weekday,20260212,2
Holiday-Weekday,20260213,2
Holiday-Weekday,20260216,2
Holiday-Weekday,20260217,2
Holiday-Weekday,20260218,2
Holiday-Weekday,20260219,2
Holiday-Weekday,20260220,2
Holiday-Weekday,20260223,2
Holiday-Weekday,20260224,2
Holiday-Weekday,20260225,2
Holiday-Weekday,20260226,2
Holiday-Weekday,20260227,2
Holiday-Weekday,20260302,2
Holiday-Weekday,20260303,2
Holiday-Weekday,20260304,2
Holiday-Weekday,20260305,2
Holiday-Weekday,20260306,2
Holiday-Weekday,20251225,2
Holiday-Weekday,20260101,2
Holiday-Sa,20260117,2
Holiday-Sa,20260124,2
Holiday-Sa,20260131,2
Holiday-Sa,20260207,2
Holiday-Sa,20260214,2
Holiday-Sa,20260221,2
Holiday-Sa,20260228,2
Holiday-Sa,20260307,2
Holiday-Su,20260118,2
Holiday-Su,20260125,2
Holiday-Su,20260201,2
Holiday-Su,20260208,2
Holiday-Su,20260215,2
Holiday-Su,20260222,2
Holiday-Su,20260301,2
Holiday-Su,20260308,2
