fare_id,route_id,origin_id,contains_id,destination_id
Reduced Regional Day Pass,4919,,,
Reduced Regional Day Pass,5743,,,
Local AM/PM Pass,4918,,,
Local AM/PM Pass,5740,,,
Local Day Pass,4905,,,
Local AM/PM Pass,19568,,,
Local AM/PM Pass,5742,,,
Reduced Local AM/PM,4902,,,
Local Day Pass,5743,,,
Children 5 & Under,4905,,,
Reduced Local AM/PM,5743,,,
Children 5 & Under,74423,,,
Local Day Pass,19659,,,
Children 5 & Under,4902-3,,,
Regional Day Pass,19659,,,
Reduced Local Day Pass,19568,,,
Local Day Pass,4919,,,
Reduced Local Day Pass,19571,,,
Reduced Local AM/PM,19659-1,,,
Regional Day Pass,19659-1,,,
Local AM/PM Pass,5743,,,
Reduced Local AM/PM,5740,,,
Reduced Regional Day Pass,74423,,,
Reduced Local Day Pass,4906,,,
Local AM/PM Pass,4919,,,
Local AM/PM Pass,19659,,,
Reduced Regional Day Pass,19571,,,
Children 5 & Under,4918,,,
Local Day Pass,5740,,,
Children 5 & Under,4905-1,,,
Reduced Local Day Pass,4902-3,,,
Local AM/PM Pass,4919-1,,,
Local AM/PM Pass,4921,,,
Regional Day Pass,4921,,,
Reduced Local AM/PM,4921,,,
Reduced Regional Day Pass,5742,,,
Children 5 & Under,5742,,,
Local AM/PM Pass,4902-3,,,
Reduced Local Day Pass,5742,,,
Local AM/PM Pass,19571,,,
Reduced Local Day Pass,4905,,,
Local Day Pass,4919-1,,,
Local Day Pass,5742,,,
Regional Day Pass,19568,,,
Reduced Local AM/PM,19568,,,
Reduced Regional Day Pass,4918-1,,,
Reduced Local Day Pass,5743,,,
Regional Day Pass,4906,,,
Local AM/PM Pass,4906-1,,,
Local AM/PM Pass,4918-1,,,
Reduced Local AM/PM,4906,,,
Reduced Local AM/PM,74423,,,
Children 5 & Under,4906,,,
Reduced Local Day Pass,74423,,,
Local Day Pass,19568,,,
Local AM/PM Pass,4906,,,
Regional Day Pass,19571,,,
Local Day Pass,4906-1,,,
Regional Day Pass,4905,,,
Reduced Local AM/PM,4919-1,,,
Local Day Pass,4902-3,,,
Regional Day Pass,4918,,,
Regional Day Pass,4905-1,,,
Reduced Local Day Pass,4905-1,,,
Children 5 & Under,19659,,,
Reduced Regional Day Pass,4906-1,,,
Children 5 & Under,4919,,,
Reduced Local Day Pass,4921,,,
Local AM/PM Pass,4905,,,
Regional Day Pass,4919,,,
Regional Day Pass,74423,,,
Reduced Local AM/PM,5742,,,
Reduced Local Day Pass,4919,,,
Reduced Local Day Pass,4918-1,,,
Local Day Pass,4902,,,
Reduced Regional Day Pass,4905-1,,,
Local Day Pass,74423,,,
Reduced Local AM/PM,4902-3,,,
Local Day Pass,4918,,,
Regional Day Pass,5743,,,
Regional Day Pass,4918-1,,,
Local AM/PM Pass,4905-1,,,
Reduced Local Day Pass,4902,,,
Reduced Local AM/PM,4905,,,
Children 5 & Under,4902,,,
Reduced Regional Day Pass,4905,,,
Children 5 & Under,19568,,,
Children 5 & Under,19659-1,,,
Local Day Pass,19659-1,,,
Local Day Pass,4918-1,,,
Reduced Regional Day Pass,4906,,,
Local Day Pass,4906,,,
Reduced Regional Day Pass,4918,,,
Reduced Local Day Pass,4918,,,
Children 5 & Under,4919-1,,,
Reduced Regional Day Pass,5740,,,
Regional Day Pass,4919-1,,,
Local Day Pass,4921,,,
Local Day Pass,4905-1,,,
Children 5 & Under,5743,,,
Reduced Local AM/PM,4919,,,
Children 5 & Under,4918-1,,,
Reduced Local Day Pass,5740,,,
Children 5 & Under,19571,,,
Regional Day Pass,5740,,,
Children 5 & Under,4906-1,,,
Children 5 & Under,4921,,,
Reduced Local AM/PM,4918-1,,,
Reduced Regional Day Pass,19568,,,
Reduced Regional Day Pass,4921,,,
Reduced Local AM/PM,4905-1,,,
Regional Day Pass,4902,,,
Regional Day Pass,5742,,,
Reduced Regional Day Pass,19659-1,,,
Reduced Local Day Pass,19659-1,,,
Regional Day Pass,4902-3,,,
Reduced Local AM/PM,19571,,,
Reduced Local Day Pass,4906-1,,,
Reduced Local AM/PM,4906-1,,,
Local AM/PM Pass,19659-1,,,
Reduced Regional Day Pass,4919-1,,,
Reduced Regional Day Pass,19659,,,
Local AM/PM Pass,74423,,,
Reduced Regional Day Pass,4902-3,,,
Reduced Local AM/PM,4918,,,
Reduced Local AM/PM,19659,,,
Children 5 & Under,5740,,,
Local Day Pass,19571,,,
Reduced Local Day Pass,19659,,,
Local AM/PM Pass,4902,,,
Regional Day Pass,4906-1,,,
Reduced Regional Day Pass,4902,,,
Reduced Local Day Pass,4919-1,,,
