trip_id,stop_id,stop_sequence,arrival_time,departure_time,timepoint,shape_dist_traveled,pickup_type,drop_off_type,stop_headsign_code,stop_headsign
2026_Spring_-Weekday-4902-A-IB-2009-3f0a3b5,3461986,1,20:09:00,20:09:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1609-dde9d6b,3461986,1,16:09:00,16:09:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-2029-c6c8988,3461986,1,20:29:00,20:29:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-0849-79de599,3461986,1,08:49:00,08:49:00,1,3.63,0,0,,
2026_Spring_-Sa-4902-A-IB-0835-110302a,3461986,1,08:35:00,08:35:00,1,3.63,0,0,,
2026_Spring_-Sa-4902-A-IB-1005-489f043,3461986,1,10:05:00,10:05:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1349-7ee83ff,3461986,1,13:49:00,13:49:00,1,3.63,0,0,,
2026_Spring_-Sa-4902-A-IB-1135-fbb123c,3461986,1,11:35:00,11:35:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-0709-8b9b5a4,3461986,1,07:09:00,07:09:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1029-3bb5cb1,3461986,1,10:29:00,10:29:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1949-efab4e6,3461986,1,19:49:00,19:49:00,1,3.63,0,0,,
2026_Spring_-Sa-4902-A-IB-1605-f76d650,3461986,1,16:05:00,16:05:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-0929-12787e0,3461986,1,09:29:00,09:29:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1929-b6ace87,3461986,1,19:29:00,19:29:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1209-31d490c,3461986,1,12:09:00,12:09:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-0749-a2a250a,3461986,1,07:49:00,07:49:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1049-3087995,3461986,1,10:49:00,10:49:00,1,3.63,0,0,,
2026_Spring_-Sa-4902-A-IB-1305-bc5e9f4,3461986,1,13:05:00,13:05:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1309-bb1dbad,3461986,1,13:09:00,13:09:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1649-04295f8,3461986,1,16:49:00,16:49:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1549-79f3d8f,3461986,1,15:49:00,15:49:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-0729-cbcd524,3461986,1,07:29:00,07:29:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1849-ec4f264,3461986,1,18:49:00,18:49:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-0949-335dae4,3461986,1,09:49:00,09:49:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-0809-5f55690,3461986,1,08:09:00,08:09:00,1,3.63,0,0,,
2026_Spring_-Sa-4902-A-IB-1050-8f1994d,3461986,1,10:50:00,10:50:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1109-154b2be,3461986,1,11:09:00,11:09:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-2049-f88c9d5,3461986,1,20:49:00,20:49:00,1,3.63,0,0,,
2026_Spring_-Sa-4902-A-IB-1520-f38e753,3461986,1,15:20:00,15:20:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-0909-a191238,3461986,1,09:09:00,09:09:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1529-266a6cb,3461986,1,15:29:00,15:29:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1749-53e8e92,3461986,1,17:49:00,17:49:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1409-5d146fb,3461986,1,14:09:00,14:09:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1629-2861e39,3461986,1,16:29:00,16:29:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1909-cc71f6f,3461986,1,19:09:00,19:09:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1329-a4ec920,3461986,1,13:29:00,13:29:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1709-00375a1,3461986,1,17:09:00,17:09:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1809-dd37e62,3461986,1,18:09:00,18:09:00,1,3.63,0,0,,
2026_Spring_-Sa-4902-A-IB-0750-0024888,3461986,1,07:50:00,07:50:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1009-3c3f5ca,3461986,1,10:09:00,10:09:00,1,3.63,0,0,,
2026_Spring_-Sa-4902-A-IB-1220-1cce15d,3461986,1,12:20:00,12:20:00,1,3.63,0,0,,
2026_Spring_-Sa-4902-A-IB-1350-2284aea,3461986,1,13:50:00,13:50:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1429-ae8ad33,3461986,1,14:29:00,14:29:00,1,3.63,0,0,,
2026_Spring_-Sa-4902-A-IB-1735-2ad8dec,3461986,1,17:35:00,17:35:00,1,3.63,0,0,,
2026_Spring_-Sa-4902-A-IB-0920-e09c304,3461986,1,09:20:00,09:20:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1729-341dd0a,3461986,1,17:29:00,17:29:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1249-8a831bd,3461986,1,12:49:00,12:49:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1509-21cb797,3461986,1,15:09:00,15:09:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1229-e869437,3461986,1,12:29:00,12:29:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1149-8c182c2,3461986,1,11:49:00,11:49:00,1,3.63,0,0,,
2026_Spring_-Sa-4902-A-IB-1435-4d739c5,3461986,1,14:35:00,14:35:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1829-664ad08,3461986,1,18:29:00,18:29:00,1,3.63,0,0,,
2026_Spring_-Sa-4902-A-IB-1650-8599a74,3461986,1,16:50:00,16:50:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-0829-185e351,3461986,1,08:29:00,08:29:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1129-727c997,3461986,1,11:29:00,11:29:00,1,3.63,0,0,,
2026_Spring_-Sa-4902-A-IB-1820-d026320,3461986,1,18:20:00,18:20:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-1449-4bdafeb,3461986,1,14:49:00,14:49:00,1,3.63,0,0,,
2026_Spring_-Weekday-4902-A-IB-2009-3f0a3b5,2366095,2,20:11:00,20:11:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1609-dde9d6b,2366095,2,16:11:00,16:11:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-2029-c6c8988,2366095,2,20:31:00,20:31:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-0849-79de599,2366095,2,08:51:00,08:51:00,0,1085.57,0,0,,
2026_Spring_-Sa-4902-A-IB-0835-110302a,2366095,2,08:37:00,08:37:00,0,1085.57,0,0,,
2026_Spring_-Sa-4902-A-IB-1005-489f043,2366095,2,10:07:00,10:07:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1349-7ee83ff,2366095,2,13:51:00,13:51:00,0,1085.57,0,0,,
2026_Spring_-Sa-4902-A-IB-1135-fbb123c,2366095,2,11:37:00,11:37:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-0709-8b9b5a4,2366095,2,07:11:00,07:11:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1949-efab4e6,2366095,2,19:51:00,19:51:00,0,1085.57,0,0,,
2026_Spring_-Sa-4902-A-IB-1605-f76d650,2366095,2,16:07:00,16:07:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-0929-12787e0,2366095,2,09:31:00,09:31:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1929-b6ace87,2366095,2,19:31:00,19:31:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1209-31d490c,2366095,2,12:11:00,12:11:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-0749-a2a250a,2366095,2,07:51:00,07:51:00,0,1085.57,0,0,,
2026_Spring_-Sa-4902-A-IB-1305-bc5e9f4,2366095,2,13:07:00,13:07:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1309-bb1dbad,2366095,2,13:11:00,13:11:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1649-04295f8,2366095,2,16:51:00,16:51:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1549-79f3d8f,2366095,2,15:51:00,15:51:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-0729-cbcd524,2366095,2,07:31:00,07:31:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1849-ec4f264,2366095,2,18:51:00,18:51:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1629-2861e39,2366095,2,16:31:00,16:31:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1029-3bb5cb1,2366095,2,10:31:00,10:31:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-0949-335dae4,2366095,2,09:51:00,09:51:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-0809-5f55690,2366095,2,08:11:00,08:11:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1109-154b2be,2366095,2,11:11:00,11:11:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-2049-f88c9d5,2366095,2,20:51:00,20:51:00,0,1085.57,0,0,,
2026_Spring_-Sa-4902-A-IB-1050-8f1994d,2366095,2,10:52:00,10:52:00,0,1085.57,0,0,,
2026_Spring_-Sa-4902-A-IB-1520-f38e753,2366095,2,15:22:00,15:22:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1529-266a6cb,2366095,2,15:31:00,15:31:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1749-53e8e92,2366095,2,17:51:00,17:51:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-0909-a191238,2366095,2,09:11:00,09:11:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1329-a4ec920,2366095,2,13:31:00,13:31:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1409-5d146fb,2366095,2,14:11:00,14:11:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1049-3087995,2366095,2,10:51:00,10:51:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1909-cc71f6f,2366095,2,19:11:00,19:11:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1709-00375a1,2366095,2,17:11:00,17:11:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1809-dd37e62,2366095,2,18:11:00,18:11:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1009-3c3f5ca,2366095,2,10:11:00,10:11:00,0,1085.57,0,0,,
2026_Spring_-Sa-4902-A-IB-1220-1cce15d,2366095,2,12:22:00,12:22:00,0,1085.57,0,0,,
2026_Spring_-Sa-4902-A-IB-0750-0024888,2366095,2,07:52:00,07:52:00,0,1085.57,0,0,,
2026_Spring_-Sa-4902-A-IB-1350-2284aea,2366095,2,13:52:00,13:52:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1429-ae8ad33,2366095,2,14:31:00,14:31:00,0,1085.57,0,0,,
2026_Spring_-Sa-4902-A-IB-0920-e09c304,2366095,2,09:22:00,09:22:00,0,1085.57,0,0,,
2026_Spring_-Sa-4902-A-IB-1735-2ad8dec,2366095,2,17:37:00,17:37:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1729-341dd0a,2366095,2,17:31:00,17:31:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1509-21cb797,2366095,2,15:11:00,15:11:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1249-8a831bd,2366095,2,12:51:00,12:51:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1229-e869437,2366095,2,12:31:00,12:31:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1149-8c182c2,2366095,2,11:51:00,11:51:00,0,1085.57,0,0,,
2026_Spring_-Sa-4902-A-IB-1435-4d739c5,2366095,2,14:37:00,14:37:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1829-664ad08,2366095,2,18:31:00,18:31:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-0829-185e351,2366095,2,08:31:00,08:31:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1129-727c997,2366095,2,11:31:00,11:31:00,0,1085.57,0,0,,
2026_Spring_-Sa-4902-A-IB-1820-d026320,2366095,2,18:22:00,18:22:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1449-4bdafeb,2366095,2,14:51:00,14:51:00,0,1085.57,0,0,,
2026_Spring_-Sa-4902-A-IB-1650-8599a74,2366095,2,16:52:00,16:52:00,0,1085.57,0,0,,
2026_Spring_-Weekday-4902-A-IB-1609-dde9d6b,3461994,3,16:12:00,16:12:00,1,1638.56,0,0,,
2026_Spring_-Weekday-4902-A-IB-2029-c6c8988,3461994,3,20:32:00,20:32:00,1,1638.56,0,0,,
2026_Spring_-Weekday-4902-A-IB-0849-79de599,3461994,3,08:52:00,08:52:00,1,1638.56,0,0,,
2026_Spring_-Sa-4902-A-IB-1005-489f043,3461994,3,10:08:00,10:08:00,1,1638.56,0,0,,
2026_Spring_-Sa-4902-A-IB-1135-fbb123c,3461994,3,11:38:00,11:38:00,1,1638.56,0,0,,
2026_Spring_-Sa-4902-A-IB-0835-110302a,3461994,3,08:38:00,08:38:00,1,1638.56,0,0,,
2026_Spring_-Sa-4902-A-IB-1735-2ad8dec,3461994,3,17:38:00,17:38:00,1,1638.56,0,0,,
2026_Spring_-Weekday-4902-A-IB-1349-7ee83ff,3461994,3,13:52:00,13:52:00,1,1638.56,0,0,,
2026_Spring_-Weekday-4902-A-IB-1949-efab4e6,3461994,3,19:52:00,19:52:00,1,1638.56,0,0,,
2026_Spring_-Sa-4902-A-IB-1605-f76d650,3461994,3,16:08:00,16:08:00,1,1638.56,0,0,,
2026_Spring_-Weekday-4902-A-IB-0929-12787e0,3461994,3,09:32:00,09:32:00,1,1638.56,0,0,,
