stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_desc,wheelchair_boarding,platform_code,location_type,parent_station,stop_timezone,stop_url,tts_stop_name,zone_id
4216846,4216846,UNT Transfer,33.2109868,-97.1463733,,1,,1,,,,,
4216847,4216847,Downtown Denton Transit Center,33.2136084,-97.1256284,,1,,1,,,,,
4216800,4216800,NB Locust @ Coronado,33.23893,-97.13187,,0,,0,,,,,
839074,839074,WB McKinney @ Mockingbird,33.2136683,-97.096769,,,,0,,,,,
2751926,2751926,NTX,33.201039,-97.133056,,,,0,,,,,
839073,839073,NB Cardinal @ Oriole,33.2178754,-97.091989,,,,0,,,,,
839003,839003,SB Bell @ Chapel,33.229343,-97.127324,TWU - Stark Hall,,,0,,,,,
4212980,4212980,SB Elm @ Windsor,33.2427271,-97.1376828,,,,0,,,,,
839327,839327,NB Wood @ McKinney,33.2158764,-97.1183708,,,,0,,,,,
4216778,4216778,Midtown,33.204855,-97.137992,,,,0,,,,,
838969,838969,EB Scripture @ I-35,33.219074,-97.168521,,,,0,,,,,
4216844,4216844,Elm @ Brentwood,33.2518232,-97.1548689,,0,,0,,,,,
3461994,3461994,Serve Denton,33.217263,-97.08935,,,,0,,,,,
2366100,2366100,Our Daily Bread,33.2247482,-97.090396,,,,0,,,,,
838968,838968,WB Oak @ I-35,33.215606,-97.166243,,,,0,,,,,
2366108,2366108,NB Bonnie Brae @ Panhandle,33.222134,-97.161142,,,,0,,,,,
4216826,4216826,TP Fort Worth @ W. Collins,33.2013292,-97.136905,,0,,0,,,,,
4216845,4216845,SB Bonnie Brae @ Walt Parker,33.2008388,-97.1615548,,1,,0,,,,,
4216840,4216840,Elm @ Discovery,33.2511,-97.15282,,0,,0,,,,,
839371,839371,EB Hickory @ Ave H,33.21469,-97.159516,,,,0,,,,,
2394644,2394644,Union 4,33.21159,-97.14597,,1,,0,4216846,,,,
4216815,4216815,NB Elm @ Nicosia,33.2486948,-97.1482752,,0,,0,,,,,
839353,839353,WB Oak @ Bonnie Brae,33.215585,-97.163684,Denton County MHMR,,,0,,,,,
839328,839328,WB McKinney @ Mack Park,33.215781,-97.109651,,,,0,,,,,
839079,839079,SB Wood @ Hickory,33.214491,-97.118565,,,,0,,,,,
839072,839072,NB Cardinal @ Hummingbird,33.2154583,-97.0920558,,,,0,,,,,
4216802,4216802,SB Elm @ Discovery,33.249862,-97.1511601,,0,,0,,,,,
839005,839005,SB Bell @ Texas,33.222133,-97.127406,,,,0,,,,,
839060,839060,EB McKinney @ Duchess,33.2113715,-97.0874036,,,,0,,,,,
839058,839058,EB McKinney @ Mockingbird,33.2135107,-97.0969312,,,,0,,,,,
839405,839405,The Arbors,33.203566,-97.141491,NB Bernard @ Collins,,,0,,,,,
839275,770396,Hebron Station,33.010121,-96.958401,,,,0,,,,,
2753588,2753588,TM North Park,32.9220063,-97.3186664,,,,0,,,,,
4216836,4216836,W. Hickory @ N. Texas,33.2146864,-97.1547815,,0,,0,,,,,
838966,838966,WB Oak @ Ave G,33.215815,-97.157497,,,,0,,,,,
839348,839348,Downtown Denton Transit Center 2,33.213705,-97.126051,,1,,0,4216847,,,,
2751934,2751934,Lot 20,33.20862,-97.15859,,,,0,,,,,
4216832,4216832,TP WB Eagle @ McCormick,33.206776,-97.147592,,0,,0,,,,,
839349,839349,MedPark Station for Bus,33.1827453,-97.0918468,,,,0,,,,,
4216838,4216838,TP SB Bernard @ Prairie,33.2098,-97.14157,,0,,0,,,,,
2555980,2555980,The Retreat,33.2136293,-97.1733481,,,,0,,,,,
838983,838983,EB Hickory @ Piner,33.2145203,-97.1365055,,,,0,,,,,
2366095,2366095,NB Loop 288 @ McKinney,33.213312,-97.090506,,,,0,,,,,
4216835,4216835,NB Locust @ University,33.22968,-97.13211,,0,,0,,,,,
4216842,4216842,Pohl Rec Center,33.211691,-97.154963,,0,,0,,,,,
839391,839391,The Gateway @ Denton,33.204098,-97.13663,,,,0,,,,,
839274,770395,Old Town Station,33.047244,-96.986315,,,,0,,,,,
2382848,2382848,EB Eagle @ Bernard,33.2064704,-97.1405487,,,,0,,,,,
2366111,2366111,EB University @ Locust,33.230674,-97.132525,,,,0,,,,,
2383119,2383119,Downtown Denton Transit Center 1,33.2139001,-97.1260327,,1,,0,4216847,,,,
839378,839378,The Forum/Republic,33.198645,-97.131399,WB Inman @ Meadow,,,0,,,,,
838973,838973,SB Bonnie Brae @ Stella,33.2141704,-97.1614928,,0,,0,,,,,
4216801,4216801,NB Locust @ Sherman,33.23265,-97.13202,,0,,0,,,,,
4216831,4216831,TP Central @ Maple,33.20829,-97.14507,,1,,0,,,,,
838975,838975,EB Charlotte @ Ave G,33.2127521,-97.1582269,,,,0,,,,,
839059,839059,EB McKinney @ Cardinal,33.213209,-97.0936525,,,,0,,,,,
2394645,2394645,Union 5,33.210411,-97.1458637,,1,,0,4216846,,,,
839075,839075,WB McKinney @ Bellaire,33.213947,-97.098741,,,,0,,,,,
2501536,2501536,WB Maple @ Ave A,33.208299,-97.145811,,,,0,,,,,
4212914,4212914,Union 2,33.21159,-97.14555,,1,,0,4216846,,,,
839057,839057,EB McKinney @ Bellaire,33.2138632,-97.0992812,,,,0,,,,,
838979,838979,EB Hickory @ Ave B,33.2145966,-97.1485601,,,,0,,,,,
838962,838962,WB Oak @ Fulton St,33.2157337,-97.143662,,,,0,,,,,
2383120,2383120,Downtown Denton Transit Center 4,33.213212,-97.126046,,1,,0,4216847,,,,
4216804,4216804,NB Locust @ Pauline,33.2199546,-97.1322874,,0,,0,,,,,
3463330,3463330,Rayzor Park,33.22551,-97.16606,,,,0,,,,,
4216813,4216813,Mockingbird @ Paisley,33.2206165,-97.0962971,,0,,0,,,,,
839369,839369,University Uptown,33.215385,-97.166195,EB Hickory @ I-35 Service Rd,,,0,,,,,
2583004,2583004,Lot 20 Transfer 3,33.209772,-97.155398,,1,,0,,,,,
4148396,4148396,NB Locust @ 3rd St,33.2266651,-97.1321709,,,,0,,,,,
4216780,4216780,SB Bonnie Brae @ Women's Center,33.2171625,-97.1616823,,,,0,,,,,
838963,838963,WB Oak @ Fry,33.2157394,-97.1463207,,,,0,,,,,
839054,839054,EB Hickory @ Wood,33.2142924,-97.1187768,,,,0,,,,,
