trip_id,route_id,service_id,direction_id,shape_id,trip_headsign,trip_headsign_code,trip_short_name,wheelchair_accessible,bikes_allowed,block_id
2026_Spring_-Sa-4902-A-IB-0750-0024888,4902,2026_Spring_-Sa,0,4902-A-IB,Connect Rt 3,5,,0,0,1
2026_Spring_-Weekday-4902-A-IB-1709-00375a1,4902,2026_Spring_-Weekday,0,4902-A-IB,Connect Rt 3,5,,1,1,7
2026_Spring_-Weekday-4906-A-OB-1739-005a37d,4906,2026_Spring_-Weekday,0,4906-A-OB,Connect Rt 7,7,,1,1,16
Holiday-Sa-4919-1-A-OB-1109-0060825,4919-1,Holiday-Sa,1,4919-1-A-OB,Eagle Point,14,,1,1,4
2026_Spring_-Weekday-19571-A-OB-1138-009b305,19571,2026_Spring_-Weekday,1,19571-A-OB,Park Exp A,18,,1,1,4
Holiday-Su-4919-1-B-OB-0910-00b4cff,4919-1,Holiday-Su,1,4919-1-B-OB,Eagle Point B,15,,1,1,1
2026_Spring_-Weekday-4918-A-OB-2141-00e9753,4918,2026_Spring_-Weekday,1,4918-A-OB,Discovery Prk,12,,0,0,19
2026_Spring_-Weekday-4902-A-OB-1131-00faa56,4902,2026_Spring_-Weekday,1,4902-A-OB,Connect Rt 3,5,,1,1,7
2026_Spring_-Sa-4918-A-OB-1159-01288bf,4918,2026_Spring_-Sa,1,4918-A-OB,Discovery Prk,12,,1,1,3
2026_Spring_-Weekday-4906-A-IB-0759-013e284,4906,2026_Spring_-Weekday,1,4906-A-IB,Connect Rt 7,7,,1,1,21
2026_Spring_-Weekday-5740-A-IB-0826-0190dc8,5740,2026_Spring_-Weekday,1,5740-A-IB,Bernard St,9,,0,0,6
Holiday-Weekday-4918-1-A-IB-0840-01c4a01,4918-1,Holiday-Weekday,0,4918-1-A-IB,Discovery Prk,12,,1,1,5
2026_Spring_-Sa-4918-A-OB-1959-01dd515,4918,2026_Spring_-Sa,1,4918-A-OB,Discovery Prk,12,,1,1,3
Holiday-Weekday-4906-1-A-IB-0659-01f2ed3,4906-1,Holiday-Weekday,1,4906-1-A-IB,Connect Rt 7,7,,1,1,6
2026_Spring_-Weekday-19568-A-IB-1632-022cbbc,19568,2026_Spring_-Weekday,0,19568-A-IB,Daugherty St,13,,0,0,3
2026_Spring_-Weekday-4902-A-OB-0951-0233191,4902,2026_Spring_-Weekday,1,4902-A-OB,Connect Rt 3,5,,1,1,8
2026_Spring_-Weekday-5740-A-IB-1611-02af386,5740,2026_Spring_-Weekday,1,5740-A-IB,Bernard St,9,,0,0,2
