trip_id,stop_id,arrival_time,departure_time,timepoint,stop_sequence,stop_headsign,route_short_name,pickup_type,drop_off_type,shape_dist_traveled
US1100s-7224-1701062026-HOU6#DLD6-00,70fe4a43-595a-4723-8b23-1ed1247b62b1,17:01:00,17:01:00,,1,,,0,0,
US1100s-7224-1701062026-HOU6#DLD6-00,532355ba-60cc-4656-a47f-3dad476ed135,18:25:00,18:35:00,,2,,,0,0,
US1100s-7224-1701062026-HOU6#DLD6-00,35e65a6b-6911-4978-b6d0-a02ccb221a95,19:25:00,19:30:00,,3,,,0,0,
US1100s-7224-1701062026-HOU6#DLD6-00,c3a4e093-457a-4ae1-8c30-ca040846520d,20:10:00,20:15:00,,4,,,0,0,
US1100s-7224-1701062026-HOU6#DLD6-00,7e3522dc-e384-4f70-9860-1feaeb57c380,20:55:00,21:00:00,,5,,,0,0,
US1100s-7224-1701062026-HOU6#DLD6-00,ab907c33-65f8-4779-8d42-cab5db883261,21:30:00,21:45:00,,6,,,0,0,
US1100s-7224-1701062026-HOU6#DLD6-00,ab615f55-9409-4216-a06f-5cf7769812c5,23:00:00,23:00:00,,7,,,0,0,
US1100-7233-1800062026-DLD6#HOU6-00,ab615f55-9409-4216-a06f-5cf7769812c5,18:00:00,18:00:00,,1,,,0,0,
US1100-7233-1800062026-DLD6#HOU6-00,70fe4a43-595a-4723-8b23-1ed1247b62b1,22:55:00,22:55:00,,2,,,0,0,
US0600-1510-0815052026-DLD6#NAS6-00,ab615f55-9409-4216-a06f-5cf7769812c5,08:15:00,08:15:00,,1,,,0,0,
US0600-1510-0815052026-DLD6#NAS6-00,01284e68-b526-4198-9881-a13c5c79f65d,11:10:00,11:40:00,,2,,,0,0,
US0600-1510-0815052026-DLD6#NAS6-00,2a3f6ef0-3395-448e-bee2-6416fefa7296,13:50:00,13:55:00,,3,,,0,0,
US0600-1510-0815052026-DLD6#NAS6-00,4efd39e2-d231-413a-a1b7-f7826c3380a8,15:45:00,16:00:00,,4,,,0,0,
US0600-1510-0815052026-DLD6#NAS6-00,bd02b7ef-402c-4319-b4f0-1a1a510bc750,16:55:00,17:30:00,,5,,,0,0,
US0600-1510-0815052026-DLD6#NAS6-00,182335f4-920a-4722-8907-37010d066f2e,19:10:00,19:25:00,,6,,,0,0,
US0600-1510-0815052026-DLD6#NAS6-00,be823ce8-d93e-44e3-acf1-40fe05f9942f,21:30:00,21:30:00,,7,,,0,0,
2242-2-1535052026-2HO#OKL6-00,0edad38b-8446-40ef-bab2-2e268e21dd84,15:35:00,15:35:00,,1,,,0,0,
2242-2-1535052026-2HO#OKL6-00,9b6a920f-3ecb-11ea-8017-02437075395e,17:10:00,17:15:00,,2,,,0,0,
2242-2-1535052026-2HO#OKL6-00,79685b14-530b-47e5-85dc-26ccf93c96cb,18:50:00,18:55:00,,3,,,0,0,
2242-2-1535052026-2HO#OKL6-00,ab615f55-9409-4216-a06f-5cf7769812c5,20:25:00,20:30:00,,4,,,0,0,
2242-2-1535052026-2HO#OKL6-00,c21ff4f5-7a5d-4630-adc2-69fc5c8c7f27,20:45:00,20:50:00,,5,,,0,0,
2242-2-1535052026-2HO#OKL6-00,c61de848-9a49-4ac4-9cca-90612e434c7a,21:35:00,21:40:00,,6,,,0,0,
2242-2-1535052026-2HO#OKL6-00,4da8fa9d-15d2-4cb5-a9dd-d5a302657715,22:20:00,22:25:00,,7,,,0,0,
2242-2-1535052026-2HO#OKL6-00,c8105fb0-c920-4bbc-8673-c84b4f357cfb,24:20:00,24:20:00,,8,,,0,0,
US0135-1533-0030122026-DET6#ATD6-00,2949ff9e-29ad-40cc-b6a7-daf1d10f5aab,00:30:00,00:30:00,,1,,,0,0,
