shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_7782,32.73391,-96.61497,1,0
p_7782,32.73391,-96.61438,2,55.30230754
p_7782,32.73407,-96.61439,3,73.07100496
p_7782,32.73411,-96.61724,4,340.24556192
p_7782,32.73412,-96.61835,5,444.29455836
p_7782,32.73413,-96.61969,6,569.90100369
p_7782,32.73414,-96.62013,7,611.1582065900001
p_7782,32.73414,-96.6226,8,842.67744187
p_7782,32.73394,-96.6226,9,864.8573889
p_7782,32.73325,-96.62259,10,941.3839413600001
p_7782,32.73312,-96.62259,11,955.8009049600001
p_7782,32.73182,-96.62259,12,1099.9705245300001
p_7782,32.73127,-96.6226,13,1160.9725566200002
p_7782,32.73091,-96.62259,14,1200.9074448600002
p_7782,32.73034,-96.6226,15,1264.12720895
p_7782,32.72963,-96.62261,16,1342.87154931
p_7782,32.72883,-96.62262,17,1431.59622111
p_7782,32.72851,-96.62261,18,1467.09648384
p_7782,32.72725,-96.62262,19,1606.83315683
p_7782,32.72688,-96.62263,20,1647.8767192
p_7782,32.72611,-96.62264,21,1733.27455743
p_7782,32.72477,-96.62264,22,1881.8799984099999
p_7782,32.72478,-96.62123,23,2014.0612717899999
p_7782,32.72472,-96.6193,24,2195.1062498799997
p_7782,32.72472,-96.61627,25,2479.14554616
p_7782,32.72472,-96.6158,26,2523.2044468999998
p_7782,32.72395,-96.61579,27,2608.6022559099997
p_7782,32.72372,-96.61585,28,2634.72194009
p_7782,32.72349,-96.61594,29,2661.58796549
p_7782,32.72238,-96.61635,30,2790.54724813
p_7782,32.72081,-96.61693,31,2972.95184046
p_7782,32.72075,-96.61698,32,2981.09102445
p_7782,32.72067,-96.61705,33,2992.12619088
p_7782,32.72059,-96.61713,34,3003.74331689
p_7782,32.72037,-96.61756,35,3050.86277095
p_7782,32.72031,-96.61765,36,3061.6080976900002
p_7782,32.72023,-96.61774,37,3073.85140235
p_7782,32.72013,-96.61781,38,3086.73746858
p_7782,32.71999,-96.61789,39,3103.97989038
p_7782,32.71964,-96.61806,40,3145.9391611300002
p_7782,32.71945,-96.6181,41,3167.34113982
p_7782,32.71933,-96.6181,42,3180.6490769
p_7782,32.71933,-96.61777,43,3211.5859108100003
p_7782,32.71931,-96.6175,44,3236.9948597700004
p_7782,32.71932,-96.61739,45,3247.3665993500003
p_7782,32.71935,-96.61727,46,3259.0980042200003
p_7782,32.71935,-96.61579,47,3397.8449859300003
p_7782,32.71942,-96.61525,48,3449.06061557
p_7782,32.71945,-96.61492,49,3480.17579312
p_7782,32.71945,-96.61448,50,3521.42484975
p_7782,32.71942,-96.61407,51,3560.0051964299996
p_7782,32.71906,-96.61408,52,3599.9400120399996
p_7782,32.71859,-96.61411,53,3652.1385834099997
p_7782,32.71803,-96.61414,54,3714.30593023
p_7782,32.71627,-96.61414,55,3909.48893757
p_7782,32.71547,-96.61415,56,3998.21342154
p_7782,32.71468,-96.61414,57,4085.82896304
p_7782,32.713,-96.61414,58,4272.13991701
p_7782,32.71229,-96.61415,59,4350.884041470001
p_7782,32.71149,-96.61416,60,4439.608469490001
p_7782,32.711218166404,-96.614166498184,61,4469.760789780001
p_7782,32.711210267519,-96.61409676075,62,4476.357544820001
p_7782,32.711169644674,-96.614049822092,63,4482.655363440001
p_7782,32.711094040995,-96.614000201225,64,4492.24399436
p_7782,32.711085577893,-96.613997519016,65,4493.21565276
p_7782,32.711029721397,-96.613930463791,66,4502.04152084
p_7782,32.71102295091,-96.613113731146,67,4578.61933335
p_7782,32.711069215892,-96.613056063652,68,4586.073001829999
