trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_drop_off_window,end_pickup_drop_off_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_2071474_b_33975_tn_0,18:00:00,18:00:00,831913,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_2071474_b_33975_tn_0,18:03:00,18:03:00,831914,2,,0,0,955.8009049721426,0,,,,,1,1,,,,,,,,,,,
t_2071474_b_33975_tn_0,18:05:00,18:05:00,831945,3,,0,0,1647.8767192145463,0,,,,,1,1,,,,,,,,,,,
t_2071474_b_33975_tn_0,18:07:00,18:07:00,831916,4,,0,0,2479.145546172841,0,,,,,1,1,,,,,,,,,,,
t_2071474_b_33975_tn_0,18:08:00,18:08:00,831917,5,,0,0,2981.0910244696915,0,,,,,1,1,,,,,,,,,,,
t_2071474_b_33975_tn_0,18:10:00,18:10:00,831918,6,,0,0,3599.9400120336013,0,,,,,1,1,,,,,,,,,,,
t_2071474_b_33975_tn_0,18:12:00,18:12:00,831926,7,,0,0,4492.243994353592,1,,,,,1,1,,,,,,,,,,,
t_2071474_b_33975_tn_0,18:14:00,18:14:00,831921,8,,0,0,5452.52289981527,0,,,,,1,1,,,,,,,,,,,
t_2071474_b_33975_tn_0,18:17:00,18:17:00,2326142,9,,0,0,6869.735884043459,0,,,,,1,1,,,,,,,,,,,
t_2071474_b_33975_tn_0,18:19:00,18:19:00,831920,10,,0,0,7638.07210025808,0,,,,,1,1,,,,,,,,,,,
t_2071474_b_33975_tn_0,18:29:00,18:29:00,831922,11,,2,3,13582.316368414526,0,,,,,1,1,,,,,,,,,,,
t_2071474_b_33975_tn_0,18:39:00,18:39:00,2326141,12,,0,0,19620.10431185017,0,,,,,1,1,,,,,,,,,,,
t_2071474_b_33975_tn_0,18:40:00,18:40:00,2326143,13,,0,0,20381.44450052085,0,,,,,1,1,,,,,,,,,,,
t_2071474_b_33975_tn_0,18:43:00,18:43:00,831927,14,,0,0,21808.337758520065,0,,,,,1,1,,,,,,,,,,,
t_2071474_b_33975_tn_0,18:45:00,18:45:00,831926,15,,0,0,22523.91034028388,1,,,,,1,1,,,,,,,,,,,
t_2071474_b_33975_tn_0,18:47:00,18:47:00,831925,16,,0,0,23413.49092740373,0,,,,,1,1,,,,,,,,,,,
t_2071474_b_33975_tn_0,18:49:00,18:49:00,831924,17,,0,0,23973.690788261105,0,,,,,1,1,,,,,,,,,,,
t_2071474_b_33975_tn_0,18:51:00,18:51:00,831928,18,,0,0,24514.081571939045,0,,,,,1,1,,,,,,,,,,,
t_2071474_b_33975_tn_0,18:53:00,18:53:00,831946,19,,0,0,25367.97542569601,0,,,,,1,1,,,,,,,,,,,
t_2071474_b_33975_tn_0,18:54:00,18:54:00,831923,20,,0,0,26030.097640020358,0,,,,,1,1,,,,,,,,,,,
t_2071474_b_33975_tn_0,18:57:00,18:57:00,831913,21,,0,0,26835.177084339994,0,,,,,1,1,,,,,,,,,,,
t_2071475_b_33975_tn_0,09:00:00,09:00:00,831913,1,,0,0,0,1,,,,,1,1,,,,,,,,,,,
t_2071475_b_33975_tn_0,09:03:00,09:03:00,831914,2,,0,0,955.8009049721426,0,,,,,1,1,,,,,,,,,,,
t_2071475_b_33975_tn_0,09:05:00,09:05:00,831945,3,,0,0,1647.8767192145463,0,,,,,1,1,,,,,,,,,,,
t_2071475_b_33975_tn_0,09:07:00,09:07:00,831916,4,,0,0,2479.145546172841,0,,,,,1,1,,,,,,,,,,,
t_2071475_b_33975_tn_0,09:08:00,09:08:00,831917,5,,0,0,2981.0910244696915,0,,,,,1,1,,,,,,,,,,,
t_2071475_b_33975_tn_0,09:10:00,09:10:00,831918,6,,0,0,3599.9400120336013,0,,,,,1,1,,,,,,,,,,,
t_2071475_b_33975_tn_0,09:12:00,09:12:00,831926,7,,0,0,4492.243994353592,1,,,,,1,1,,,,,,,,,,,
t_2071475_b_33975_tn_0,09:14:00,09:14:00,831921,8,,0,0,5452.52289981527,0,,,,,1,1,,,,,,,,,,,
t_2071475_b_33975_tn_0,09:17:00,09:17:00,2326142,9,,0,0,6869.735884043459,0,,,,,1,1,,,,,,,,,,,
