stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding,tts_stop_name
2326141,,,Peachtree Senior Living Apartments,,32.699483229448,-96.632845282209,,,0,,America/Chicago,,,0,
2326142,,,Seagoville Rd @ Peachtree Rd,,32.7050392068963,-96.6310710286369,,,0,,America/Chicago,,,0,
2326143,,,Seagoville Rd @ Peachtree Rd,,32.70483574789068,-96.63104388283966,,,0,,America/Chicago,,,0,
2382395,,,Balch Springs City Hall,,32.706829,-96.58212,,,0,,America/Chicago,,,1,
2382396,,,I 20 Frontage Rd.,,32.704797,-96.588939,,,0,,America/Chicago,,,1,
2382397,,,Twin Oaks Dr. & Seagoville Rd.,,32.70436,-96.605395,,,0,,America/Chicago,,,1,
2382398,,,Spring Oaks Shopping Ctr,,32.712603,-96.605354,,,0,,America/Chicago,,,0,
2382400,,,Seagoville Rd. @ Shepherd Ln.,,32.704915,-96.615143,,,0,,America/Chicago,,,1,
2382401,,,Seagoville Rd. & Ambassador Way,,32.704882,-96.622227,,,0,,America/Chicago,,,1,
2382403,,,Peachtree Rd. & Long St.,,32.711783,-96.63119,,,0,,America/Chicago,,,1,
2382404,,,Peachtree Park Shopping Center,,32.720048,-96.631166,,,0,,America/Chicago,,,1,
2382405,,,Peachtree Rd. & Erich Dr.,,32.726312,-96.631149,,,0,,America/Chicago,,,1,
2382406,,,Bells Better Burgers,,32.733617,-96.631171,,,0,,America/Chicago,,,1,
2382407,,,Beverage Corner,,32.733922,-96.623043,,,0,,America/Chicago,,,1,
2382408,,,Lake June Rd. & Balch Springs Dr.,,32.735278,-96.610707,,,0,,America/Chicago,,,1,
2382409,,,5 Points Grocery,,32.726202,-96.601904,,,0,,America/Chicago,,,1,
2382410,,,S. Beltline Rd. & Spring Oak Dr.,,32.717503,-96.591857,,,0,,America/Chicago,,,1,
2382411,,,S. Beltline Rd. & Lasater Rd.,,32.712098,-96.58546,,,0,,America/Chicago,,,1,
2387291,,,Pioneer Rd @ Elam Rd,,32.719407,-96.606451,,,0,,America/Chicago,,,1,
2387292,,,Elam Rd @ Loyd Dr,,32.71944,-96.611208,,,0,,America/Chicago,,,2,
2428301,,,Terrell Depot,,32.735244,-96.275991,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/,0,,America/Chicago,,,1,
2428302,,,Pleasant Hill Baptist Church,,32.729943,-96.268478,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/,0,,America/Chicago,,,1,
2428303,,,Dellis St. @ High St.,,32.737111,-96.266628,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/,0,,America/Chicago,,,1,
2428304,,,Baylor Health Center,,32.737146,-96.274408,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/,0,,America/Chicago,,,1,
2428305,,,Terrell Senior Citizen Center,,32.737157,-96.27614,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/,0,,America/Chicago,,,1,
2428306,,,Riter Hulsey Public Library,,32.738875,-96.280896,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/,0,,America/Chicago,,,1,
2428307,,,Town West Plaza,,32.73792,-96.299634,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/,0,,America/Chicago,,,1,
2428308,,,Wal-Mart (Terrell),,32.739043,-96.305981,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/,0,,America/Chicago,,,1,
2428309,,,Southwestern Christian College,,32.735978,-96.284786,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/,0,,America/Chicago,,,1,
2428342,,,Dollar General (Terrell),,32.73151,-96.27614,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/,0,,America/Chicago,,,1,
2428343,,,Terrell Post Office,,32.71946,-96.27967,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/,0,,America/Chicago,,,1,
2428354,,,S. Rockwall Ave. & Hamilton Dr.,,32.71666,-96.28591,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/weekday-schedulemap/,0,,America/Chicago,,,1,
2428355,,,Terrell Senior Terraces 1,,32.712601,-96.285982,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/weekday-schedulemap/,0,,America/Chicago,,,1,
2428356,,,Hwy 34 @ Mira Pl.,,32.70454,-96.27686,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/weekday-schedulemap/,0,,America/Chicago,,,1,
2428358,,,Soulman's Bar-B-Que,,32.723698,-96.316069,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/weekday-schedulemap/,0,,America/Chicago,,,1,
2428359,,,Terrell Crossing,,32.737547,-96.312555,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/weekday-schedulemap/,0,,America/Chicago,,,1,
2428360,,,Metro Dr. & Apache Tr.,,32.72831688601,-96.323634549364,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/weekday-schedulemap/,0,,America/Chicago,,,1,
2428361,,,TigerMart,,32.723466509647,-96.317666234763,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/weekday-schedulemap/,0,,America/Chicago,,,1,
2428362,,,Crossroads of Terrell,,32.71774,-96.32503,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/weekday-schedulemap/,0,,America/Chicago,,,1,
2428363,,,Tanger Outlet Mall,,32.703144488535,-96.284883098667,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/weekday-schedulemap/,0,,America/Chicago,,,1,
2428364,,,Brownstone Apartments,,32.72163,-96.27868,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/weekday-schedulemap/,0,,America/Chicago,,,1,
2428365,,,Trinity Valley Community College - Terrell Campus,,32.691714,-96.249843,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/weekday-schedulemap/,0,,America/Chicago,,,1,
2428366,,,Autozone/Maines,,32.705562,-96.252898,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/weekday-schedulemap/,0,,America/Chicago,,,1,
2428367,,,Airport Rd. and Skyline Dr.,,32.713482725183,-96.262279981654,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/weekday-schedulemap/,0,,America/Chicago,,,1,
2428368,,,Old Castle BuildingEnvelope,,32.721509,-96.271541,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/weekday-schedulemap/,0,,America/Chicago,,,1,
2428369,,,Lakes Regional MHMR,,32.72502943177,-96.276058709073,,http://www.startransit.org/fixed-routes/terrell-fixed-routes/weekday-schedulemap/,0,,America/Chicago,,,1,
2430336,,,FedEx Home Delivery,,32.656702,-96.706983,,http://www.startransit.org/hutchins-shuttle/,0,,America/Chicago,,,1,
2430337,,,Hutchins Senior Center,,32.647976,-96.716901,,http://www.startransit.org/hutchins-shuttle/,0,,America/Chicago,,,1,
2430338,,,York Dr. @ Methodist Charlton Medical Ctr.,,32.645489117607,-96.878600342998,,http://www.startransit.org,0,,America/Chicago,,,1,
2430339,,,Wal-Mart (Cedar Hill),,32.599422,-96.946236,,http://www.startransit.org/hutchins-shuttle/,0,,America/Chicago,,,0,
2430342,,,Wal-Mart (DeSoto),,32.590841,-96.880197,,http://www.startransit.org/hutchins-shuttle/,0,,America/Chicago,,,1,
2430343,,,Wal-Mart (Lancaster),,32.591137,-96.821108,,http://www.startransit.org/hutchins-shuttle/,0,,America/Chicago,,,2,
2430344,,,DART UNT Dallas Station,,32.653643,-96.802337,,http://www.startransit.org/hutchins-shuttle/,0,,America/Chicago,,,1,
2430345,,,Dollar General (Lancaster),,32.618708,-96.807161,,http://www.startransit.org/hutchins-shuttle/,0,,America/Chicago,,,1,
2430346,,,Cracker Barrel (DeSoto),,32.617459,-96.824069,,http://www.startransit.org/hutchins-shuttle/,0,,America/Chicago,,,1,
2430347,,,The Crossing Shopping Center,,32.606732332527,-96.823960516931,,http://www.startransit.org,0,,America/Chicago,,,1,
2430348,,,Crescent Medical Center,,32.604067,-96.812548,,http://www.startransit.org/hutchins-shuttle/,0,,America/Chicago,,,1,
2430349,,,Fiesta Mart (Lancaster),,32.604107,-96.787217,,http://www.startransit.org/hutchins-shuttle/,0,,America/Chicago,,,1,
2430350,,,Cedar Valley College,Near building G.,32.625611,-96.765934,,http://www.startransit.org/hutchins-shuttle/,0,,America/Chicago,,,1,
2441010,,,Amazon Fulfillment Center,,32.661933370955,-96.734333979167,,http://www.startransit.org/hutchins-shuttle/,0,,America/Chicago,,,0,
2441012,,,Hutchins Gateway Apartments - North,,32.650402,-96.723656,,http://www.startransit.org/hutchins-shuttle/,0,,America/Chicago,,,1,
